"","Sample","BaseName","Score"
"1","TCGA.02.0047.01A","RIDD_pur_DOWN",28.3711330384219
"2","TCGA.02.0047.01A","XBP1_pur_DOWN",18.8135087349277
"3","TCGA.02.0047.01A","XBP1_pur_UP",6.58989118986874
"4","TCGA.02.0055.01A","RIDD_pur_DOWN",30.7128292579863
"5","TCGA.02.0055.01A","XBP1_pur_DOWN",21.375104261077
"6","TCGA.02.0055.01A","XBP1_pur_UP",8.24637850705218
"7","TCGA.02.2483.01A","RIDD_pur_DOWN",30.4523309319023
"8","TCGA.02.2483.01A","XBP1_pur_DOWN",17.6261033330427
"9","TCGA.02.2483.01A","XBP1_pur_UP",7.90621289521692
"10","TCGA.02.2485.01A","RIDD_pur_DOWN",32.1710180898747
"11","TCGA.02.2485.01A","XBP1_pur_DOWN",17.9221489055673
"12","TCGA.02.2485.01A","XBP1_pur_UP",7.1215311945025
"13","TCGA.02.2486.01A","RIDD_pur_DOWN",22.3920165935845
"14","TCGA.02.2486.01A","XBP1_pur_DOWN",16.6656569237625
"15","TCGA.02.2486.01A","XBP1_pur_UP",6.89730370290911
"16","TCGA.06.0125.01A","RIDD_pur_DOWN",27.8226204168074
"17","TCGA.06.0125.01A","XBP1_pur_DOWN",19.4233087663166
"18","TCGA.06.0125.01A","XBP1_pur_UP",7.88995558461435
"19","TCGA.06.0125.02A","RIDD_pur_DOWN",25.6599275196997
"20","TCGA.06.0125.02A","XBP1_pur_DOWN",17.0614238113301
"21","TCGA.06.0125.02A","XBP1_pur_UP",7.34513469117161
"22","TCGA.06.0129.01A","RIDD_pur_DOWN",34.1710713338227
"23","TCGA.06.0129.01A","XBP1_pur_DOWN",21.2139319720186
"24","TCGA.06.0129.01A","XBP1_pur_UP",7.43906335586575
"25","TCGA.06.0130.01A","RIDD_pur_DOWN",27.1413778185724
"26","TCGA.06.0130.01A","XBP1_pur_DOWN",22.4210384237633
"27","TCGA.06.0130.01A","XBP1_pur_UP",7.00717818268823
"28","TCGA.06.0132.01A","RIDD_pur_DOWN",27.09628734208
"29","TCGA.06.0132.01A","XBP1_pur_DOWN",16.5626960940445
"30","TCGA.06.0132.01A","XBP1_pur_UP",7.15226659593839
"31","TCGA.06.0138.01A","RIDD_pur_DOWN",31.8454570887791
"32","TCGA.06.0138.01A","XBP1_pur_DOWN",17.9997968349439
"33","TCGA.06.0138.01A","XBP1_pur_UP",7.48765457415699
"34","TCGA.06.0139.01A","RIDD_pur_DOWN",23.3761087717192
"35","TCGA.06.0139.01A","XBP1_pur_DOWN",14.6144831038458
"36","TCGA.06.0139.01A","XBP1_pur_UP",6.25554592283449
"37","TCGA.06.0141.01A","RIDD_pur_DOWN",31.9100189496507
"38","TCGA.06.0141.01A","XBP1_pur_DOWN",23.3682563200926
"39","TCGA.06.0141.01A","XBP1_pur_UP",7.09691908661333
"40","TCGA.06.0152.02A","RIDD_pur_DOWN",28.2138730681009
"41","TCGA.06.0152.02A","XBP1_pur_DOWN",19.4758553936109
"42","TCGA.06.0152.02A","XBP1_pur_UP",6.7562358215592
"43","TCGA.06.0156.01A","RIDD_pur_DOWN",34.8439488790021
"44","TCGA.06.0156.01A","XBP1_pur_DOWN",21.8772876435349
"45","TCGA.06.0156.01A","XBP1_pur_UP",7.3256392172414
"46","TCGA.06.0157.01A","RIDD_pur_DOWN",30.620024169602
"47","TCGA.06.0157.01A","XBP1_pur_DOWN",18.5541127999107
"48","TCGA.06.0157.01A","XBP1_pur_UP",7.41968995025034
"49","TCGA.06.0158.01A","RIDD_pur_DOWN",28.1606716170409
"50","TCGA.06.0158.01A","XBP1_pur_DOWN",20.5983304953639
"51","TCGA.06.0158.01A","XBP1_pur_UP",6.80364391981931
"52","TCGA.06.0168.01A","RIDD_pur_DOWN",20.6740089711944
"53","TCGA.06.0168.01A","XBP1_pur_DOWN",12.2475252013224
"54","TCGA.06.0168.01A","XBP1_pur_UP",6.42573868480761
"55","TCGA.06.0171.02A","RIDD_pur_DOWN",29.8037575178603
"56","TCGA.06.0171.02A","XBP1_pur_DOWN",18.3709486564337
"57","TCGA.06.0171.02A","XBP1_pur_UP",6.1112780627151
"58","TCGA.06.0174.01A","RIDD_pur_DOWN",30.413862856968
"59","TCGA.06.0174.01A","XBP1_pur_DOWN",17.5360462777864
"60","TCGA.06.0174.01A","XBP1_pur_UP",7.54312169945192
"61","TCGA.06.0178.01A","RIDD_pur_DOWN",30.4030275056704
"62","TCGA.06.0178.01A","XBP1_pur_DOWN",16.6635607562051
"63","TCGA.06.0178.01A","XBP1_pur_UP",7.72208521871096
"64","TCGA.06.0184.01A","RIDD_pur_DOWN",29.8940959497091
"65","TCGA.06.0184.01A","XBP1_pur_DOWN",19.7740655291801
"66","TCGA.06.0184.01A","XBP1_pur_UP",7.40043770982192
"67","TCGA.06.0187.01A","RIDD_pur_DOWN",28.3932030074089
"68","TCGA.06.0187.01A","XBP1_pur_DOWN",16.5300445739386
"69","TCGA.06.0187.01A","XBP1_pur_UP",6.61336858098096
