angiogenesis	cell_replicative_immortality	change_of_cellular_energetics	escaping_immune_response	escaping_programmed_cell_death	genome_instability_and_mutations	invasion_and_metastasis	proliferative_signalling	suppression_of_growth	tumour_promoting_inflammation
VHL	NA	NA	NA	ERBB4	NCOR2	ERBB3	FGFR3	LRP1B	NA
NA	NA	NA	NA	ERCC2	NPM1	ESR1	FGFR4	MEN1	NA
NA	NA	NA	NA	ERCC3	PBRM1	ETV6	FLT3	NCOR2	NA
NA	NA	NA	NA	ERCC5	PIK3CB	EZH2	FLT4	NDRG1	NA
NA	NA	NA	NA	ETNK1	PMS2	EZR	FOXA1	NF1	NA
NA	NA	NA	NA	ETV6	POT1	FANCD2	FOXL2	NF2	NA
NA	NA	NA	NA	EZH2	PPM1D	FAS	FUBP1	NOTCH2	NA
NA	NA	NA	NA	EZR	PPP6C	FAT1	GATA1	NPM1	NA
NA	NA	NA	NA	FANCD2	PSIP1	FAT4	GATA2	PAX3	NA
NA	NA	NA	NA	FAS	PTEN	FBXO11	GATA3	PBRM1	NA
NA	NA	NA	NA	FAT1	PTPN11	FES	GNA11	PDCD1LG2	NA
NA	NA	NA	NA	FBXO11	RAC1	FGFR1	GNAQ	PDGFRA	NA
NA	NA	NA	NA	FCGR2B	RAD21	FGFR2	GNAS	PER1	NA
NA	NA	NA	NA	FES	RANBP2	FGFR4	GRIN2A	PHOX2B	NA
NA	NA	NA	NA	FGFR2	RB1	FHIT	HEY1	PIK3R1	NA
NA	NA	NA	NA	FGFR3	RECQL4	FLT4	HNRNPA2B1	PMS2	NA
NA	NA	NA	NA	FLT3	RHOA	FOXA1	HOXA11	PPARG	NA
NA	NA	NA	NA	FLT4	SIX1	FOXL2	HRAS	PTEN	NA
NA	NA	NA	NA	FOXL2	SMAD4	FUBP1	IKBKB	PTK6	NA
NA	NA	NA	NA	FUBP1	SPOP	FUS	IL6ST	PTPN11	NA
NA	NA	NA	NA	GATA1	STAG2	GAS7	IL7R	PTPRB	NA
NA	NA	NA	NA	GATA2	TERT	GATA1	IRS4	PTPRT	NA
NA	NA	NA	NA	GATA3	TET2	GATA2	JAK1	QKI	NA
NA	NA	NA	NA	HIF1A	TP53	GATA3	JAK2	RABEP1	NA
NA	NA	NA	NA	HIP1	UBR5	GPC3	JAK3	RB1	NA
NA	NA	NA	NA	HNF1A	USP8	GRIN2A	KDM5C	RBM10	NA
NA	NA	NA	NA	HNRNPA2B1	NA	HIF1A	KDM6A	RHOA	NA
NA	NA	NA	NA	HOXA11	NA	HNF1A	KDR	RHOH	NA
NA	NA	NA	NA	HRAS	NA	HNRNPA2B1	KIT	RNF43	NA
NA	NA	NA	NA	IKBKB	NA	HOXA11	KLF4	RUNX1T1	NA
NA	NA	NA	NA	IKZF1	NA	HRAS	KMT2A	SLC34A2	NA
