"","Sample","BaseName","Score"
"85","TCGA.06.0184.01A","RIDD_DOWN",19.5761860408268
"86","TCGA.06.0184.01A","RIDD_UP",19.8048535276611
"87","TCGA.06.0184.01A","XBP1_DOWN",25.4158060187422
"88","TCGA.06.0184.01A","XBP1_UP",40.4025148056717
"89","TCGA.06.0187.01A","RIDD_DOWN",20.6426349638064
"90","TCGA.06.0187.01A","RIDD_UP",12.7867940928471
"91","TCGA.06.0187.01A","XBP1_DOWN",25.7938057355395
"92","TCGA.06.0187.01A","XBP1_UP",28.9582841182896
"93","TCGA.06.0190.01A","RIDD_DOWN",21.2643456141147
"94","TCGA.06.0190.01A","RIDD_UP",17.6579588566202
"95","TCGA.06.0190.01A","XBP1_DOWN",28.4137290126759
"96","TCGA.06.0190.01A","XBP1_UP",37.8164205145467
"97","TCGA.06.0190.02A","RIDD_DOWN",19.2765403786735
"98","TCGA.06.0190.02A","RIDD_UP",13.9094098863874
"99","TCGA.06.0190.02A","XBP1_DOWN",26.6972379862582
"100","TCGA.06.0190.02A","XBP1_UP",30.9662565550252
"101","TCGA.06.0210.01A","RIDD_DOWN",22.3724710658958
"102","TCGA.06.0210.01A","RIDD_UP",16.9196377954992
"103","TCGA.06.0210.01A","XBP1_DOWN",29.0643150825198
"104","TCGA.06.0210.01A","XBP1_UP",36.2421411503137
"105","TCGA.06.0210.02A","RIDD_DOWN",19.1289786606587
"106","TCGA.06.0210.02A","RIDD_UP",20.3542053664898
"107","TCGA.06.0210.02A","XBP1_DOWN",28.501941467889
"108","TCGA.06.0210.02A","XBP1_UP",40.5920938138529
"109","TCGA.06.0211.01A","RIDD_DOWN",22.2361544083408
"110","TCGA.06.0211.01A","RIDD_UP",15.0342590509051
"111","TCGA.06.0211.01A","XBP1_DOWN",27.127284624155
"112","TCGA.06.0211.01A","XBP1_UP",28.1056845757439
"113","TCGA.06.0211.01B","RIDD_DOWN",17.8753994537279
"114","TCGA.06.0211.01B","RIDD_UP",16.7855306112035
"115","TCGA.06.0211.01B","XBP1_DOWN",22.5683212337679
"116","TCGA.06.0211.01B","XBP1_UP",31.7940262489108
"117","TCGA.06.0211.02A","RIDD_DOWN",22.1546426546847
"118","TCGA.06.0211.02A","RIDD_UP",16.1220327539886
"119","TCGA.06.0211.02A","XBP1_DOWN",30.7175560693334
"120","TCGA.06.0211.02A","XBP1_UP",31.98708374639
"121","TCGA.06.0219.01A","RIDD_DOWN",17.7931713307247
"122","TCGA.06.0219.01A","RIDD_UP",19.810204645358
"123","TCGA.06.0219.01A","XBP1_DOWN",27.4506851651468
"124","TCGA.06.0219.01A","XBP1_UP",36.583669292639
"125","TCGA.06.0221.02A","RIDD_DOWN",17.4752146180567
"126","TCGA.06.0221.02A","RIDD_UP",18.4439686756247
"127","TCGA.06.0221.02A","XBP1_DOWN",19.1451058523361
"128","TCGA.06.0221.02A","XBP1_UP",41.871897036231
"129","TCGA.06.0238.01A","RIDD_DOWN",18.6678764352228
"130","TCGA.06.0238.01A","RIDD_UP",18.8903658355847
"131","TCGA.06.0238.01A","XBP1_DOWN",29.3658640526794
"132","TCGA.06.0238.01A","XBP1_UP",45.9414182790285
"133","TCGA.06.0644.01A","RIDD_DOWN",17.9132072191565
"134","TCGA.06.0644.01A","RIDD_UP",17.7875910371609
"135","TCGA.06.0644.01A","XBP1_DOWN",28.9748985377824
"136","TCGA.06.0644.01A","XBP1_UP",32.358384619511
"137","TCGA.06.0645.01A","RIDD_DOWN",22.2735815868181
"138","TCGA.06.0645.01A","RIDD_UP",19.8725652253357
"139","TCGA.06.0645.01A","XBP1_DOWN",29.2983839186592
"140","TCGA.06.0645.01A","XBP1_UP",38.4723403066233
"141","TCGA.06.0646.01A","RIDD_DOWN",23.4338198511265
"142","TCGA.06.0646.01A","RIDD_UP",17.77345081677
"143","TCGA.06.0646.01A","XBP1_DOWN",27.5404601062662
"144","TCGA.06.0646.01A","XBP1_UP",35.8116026888053
"145","TCGA.06.0649.01B","RIDD_DOWN",20.6121244049383
"146","TCGA.06.0649.01B","RIDD_UP",14.4363428060314
"147","TCGA.06.0649.01B","XBP1_DOWN",26.398282273042
"148","TCGA.06.0649.01B","XBP1_UP",35.8960752869156
"149","TCGA.06.0675.11A","RIDD_DOWN",17.0541084512823
"150","TCGA.06.0675.11A","RIDD_UP",15.771292814442
"151","TCGA.06.0675.11A","XBP1_DOWN",18.9247666027559
"152","TCGA.06.0675.11A","XBP1_UP",32.8316973779059
"153","TCGA.06.0678.11A","RIDD_DOWN",16.5782800949576
"154","TCGA.06.0678.11A","RIDD_UP",17.277623675064
