"Sample";"BaseName";"Score"
"TCGA.06.0174.01A";"XBP1_pur_UP";11,6880993135003
"TCGA.06.0178.01A";"RIDD_pur_DOWN";14,6220300526343
"TCGA.06.0178.01A";"RIDD_pur_UP";15,7809974530362
"TCGA.06.0178.01A";"XBP1_pur_DOWN";12,9297256099459
"TCGA.06.0178.01A";"XBP1_pur_UP";11,4559203649702
"TCGA.06.0184.01A";"RIDD_pur_DOWN";8,43978865582141
"TCGA.06.0184.01A";"RIDD_pur_UP";21,4543072938877
"TCGA.06.0184.01A";"XBP1_pur_DOWN";13,8097815582711
"TCGA.06.0184.01A";"XBP1_pur_UP";13,3647216807309
"TCGA.06.0187.01A";"RIDD_pur_DOWN";9,47655893812701
"TCGA.06.0187.01A";"RIDD_pur_UP";18,9166440692819
"TCGA.06.0187.01A";"XBP1_pur_DOWN";10,635426716146
"TCGA.06.0187.01A";"XBP1_pur_UP";12,5079864387735
"TCGA.06.0190.01A";"RIDD_pur_DOWN";8,96695446101511
"TCGA.06.0190.01A";"RIDD_pur_UP";21,6607178785939
"TCGA.06.0190.01A";"XBP1_pur_DOWN";15,8198137731094
"TCGA.06.0190.01A";"XBP1_pur_UP";12,5952638137689
"TCGA.06.0190.02A";"RIDD_pur_DOWN";7,11286523368514
"TCGA.06.0190.02A";"RIDD_pur_UP";19,6754196646915
"TCGA.06.0190.02A";"XBP1_pur_DOWN";16,0917589444765
"TCGA.06.0190.02A";"XBP1_pur_UP";11,4691313832566
"TCGA.06.0210.01A";"RIDD_pur_DOWN";8,6631386736252
"TCGA.06.0210.01A";"RIDD_pur_UP";19,9872428469901
"TCGA.06.0210.01A";"XBP1_pur_DOWN";16,4709013035484
"TCGA.06.0210.01A";"XBP1_pur_UP";13,1805184506581
"TCGA.06.0210.02A";"RIDD_pur_DOWN";11,2374090523048
"TCGA.06.0210.02A";"RIDD_pur_UP";17,2204386296591
"TCGA.06.0210.02A";"XBP1_pur_DOWN";15,3157597264755
"TCGA.06.0210.02A";"XBP1_pur_UP";11,6473838325393
"TCGA.06.0211.01A";"RIDD_pur_DOWN";10,6250748172543
"TCGA.06.0211.01A";"RIDD_pur_UP";18,6528390681458
"TCGA.06.0211.01A";"XBP1_pur_DOWN";11,3898511027343
"TCGA.06.0211.01A";"XBP1_pur_UP";12,3436601006474
"TCGA.06.0211.01B";"RIDD_pur_DOWN";10,2528524356981
"TCGA.06.0211.01B";"RIDD_pur_UP";17,6255207391636
"TCGA.06.0211.01B";"XBP1_pur_DOWN";11,3728323140648
"TCGA.06.0211.01B";"XBP1_pur_UP";12,2336388191002
"TCGA.06.0211.02A";"RIDD_pur_DOWN";13,5405212588969
"TCGA.06.0211.02A";"RIDD_pur_UP";19,0401697679624
"TCGA.06.0211.02A";"XBP1_pur_DOWN";12,6304530180549
"TCGA.06.0211.02A";"XBP1_pur_UP";11,7310081268998
"TCGA.06.0219.01A";"RIDD_pur_DOWN";12,8731844682779
"TCGA.06.0219.01A";"RIDD_pur_UP";16,3555286998035
"TCGA.06.0219.01A";"XBP1_pur_DOWN";13,1206129209323
"TCGA.06.0219.01A";"XBP1_pur_UP";11,6713921101443
"TCGA.06.0221.02A";"RIDD_pur_DOWN";13,204574288761
"TCGA.06.0221.02A";"RIDD_pur_UP";19,8213018093133
"TCGA.06.0221.02A";"XBP1_pur_DOWN";12,0335181943377
"TCGA.06.0221.02A";"XBP1_pur_UP";14,0753799536904
"TCGA.06.0238.01A";"RIDD_pur_DOWN";17,2379214108045
"TCGA.06.0238.01A";"RIDD_pur_UP";19,3891062839463
"TCGA.06.0238.01A";"XBP1_pur_DOWN";14,4540670502334
"TCGA.06.0238.01A";"XBP1_pur_UP";12,1581305763729
"TCGA.06.0644.01A";"RIDD_pur_DOWN";7,65695461326545
"TCGA.06.0644.01A";"RIDD_pur_UP";17,615362742809
"TCGA.06.0644.01A";"XBP1_pur_DOWN";17,3451388820219
"TCGA.06.0644.01A";"XBP1_pur_UP";11,424998540731
"TCGA.06.0645.01A";"RIDD_pur_DOWN";9,57665388381619
"TCGA.06.0645.01A";"RIDD_pur_UP";20,1905794008458
"TCGA.06.0645.01A";"XBP1_pur_DOWN";12,8593969442386
"TCGA.06.0645.01A";"XBP1_pur_UP";11,7662994178143
"TCGA.06.0646.01A";"RIDD_pur_DOWN";8,90665496796706
"TCGA.06.0646.01A";"RIDD_pur_UP";19,6172085017295
"TCGA.06.0646.01A";"XBP1_pur_DOWN";11,3063621989875
"TCGA.06.0646.01A";"XBP1_pur_UP";13,5424823584352
"TCGA.06.0649.01B";"RIDD_pur_DOWN";12,4494374532285
"TCGA.06.0649.01B";"RIDD_pur_UP";21,6179066007671
"TCGA.06.0649.01B";"XBP1_pur_DOWN";15,1834978233265
