Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
TDGF1	SIVA1	KIF23	FGF8	RPA2	RAD51AP1	VCAN	PFKP	CCL7	LAMB1	CXCR2	FZD3	TCF7L2	EPHB2
TEK	MLLT11	KIF2C	FGFR1	PLAGL1	GTF2H3	CTSB	PGF	CCL8	LAMC1	CYR61	RIPK2	TFPI	ETS2
VAV2	RIPK3	LBR	FGFR2	RBBP6	RFC5	DAB2	PGK1	CCL18	LGALS1	DDR2	NUMBL	TGFB1I1	ETV1
VEGFA	SNW1	MCM4	FOXC2	CDK2	FANCE	DCK	PGM1	CCL20	LOX	EGF	EBI3	TPBG	EVI2A
VEGFC	PPP1R13B	MCM5	FLT3LG	CDKN1A	RAD50	FBLN2	PLAUR	CCL23	LOXL2	EGFR	WNT2	TNFSF4	EZH2
FGF18	PHLDA3	MCM6	MTOR	SOX4	OGG1	FN1	PLOD2	CXCL6	LUM	EGR1	IL2	FXR1	FABP7
NRP1	NUPR1	MKI67	GATA1	CNOT1	FANCL	GAS1	PPP1R3C	CXCL11	MMP2	EPAS1	IL23A	NRIP1	FAM84A
SEMA5A	BBC3	NASP	GATA4	PRMT1	MAD2L2	HIF1A	RNASE4	THBS1	MMP11	EPCAM	VEGFA	HIST1H2AC	FBLIM1
RAMP2	CIDEB	NCAPD2	GATA6	BCL2L2	RPA2	HMMR	SAT1	TLR2	HNRNPM	ERBB2	SEMA5A	HIST2H2BE	FBXO27
CIB1	TNFRSF21	NDC80	GDNF	PCNA	RAD23B	TNC	SLC2A1	TNF	NDUFB7	ERBB3	IL4	PPFIBP1	FERMT1
ESM1	PYCARD	NEK2	GNAS	RBM38	POLK	ITGAV	SLC2A3	TNFSF4	YBX1	ESR1	CD86	TNFSF10	FOXA2
JMJD6	CDIP1	NUF2	HDAC2	CCNB1	SMUG1	LUM	SPAG4	VCAM1	PDGFRB	ESR2	STAT1	IL18R1	FOXA3
HEY1	G0S2	NUSAP1	NCKAP1L	TAOK3	WRNIP1	MCM3	STC1	WNT5A	PLAU	EZH2	ID2	VNN1	FOXG1
ADGRA2	SHISA5	PCNA	NRG1	MDM2	XRCC3	MCM7	TGFBI	RIPK2	PRRX1	EZR	DOCK7	CYTIP	GATA1
GREM1	TNFRSF12A	POLA1	HHEX	CNOT6L	MBD4	MKI67	TPI1	SPHK1	PNN	F2RL1	SLAMF1	OPTN	GATA2
SRPX2	WWOX	POLD3	HIF1A	BRCA2	POLN	MMP14	VEGFA	CCRL2	PPIC	FGFR1	TNFSF4	MPZL2	GATA3
SOX18	DDIT4	PRIM1	HMGB1	PML	RPA1	NT5E	VLDLR	OSMR	PROS1	FLOT2	WNT1	CXCL13	GATA4
PARVA	USP28	PSRC1	FOXA1	FANCI	PCNA	ODC1	CXCR4	RASGRP1	PSMA2	FLT1	TNFSF9	NFAT5	GFAP
RNF213	MOAP1	PTTG1	HOXA5	TP53	MUTYH	PDGFRA	PPFIA4	TNIP1	PSMB4	FLT4	MED1	GLIPR1	GFI1
E2F8	AEN	RAD21	IGF1	PMAIP1	RFC3	PLAUR	BHLHE40	KDM6B	RGS4	FN1	SMO	RBPMS	GLI1
RSPO3	TMEM109	RAD51AP1	IL2	CARM1	CDK7	PPIC	KLF7	TLR7	SNAI2	FOXC2	TLR4	FNBP1	GPC3
OTULIN	APOPT1	RANGAP1	IL4R	DTL	CCNH	HTRA1	STC2	IL23A	SPOCK1	FOXM1	MYC	MAFF	GPM6A
